parcode,trial,fix_item,fix_time
201,257,1,428
201,257,0,65
201,257,2,470
201,259,1,620
201,259,0,182
201,259,2,84
201,261,1,322
201,261,0,48
201,261,2,392
201,263,1,406
201,263,0,99
201,263,2,267
201,263,0,165
201,263,1,17
201,263,0,398
201,263,2,649
201,265,1,405
201,265,0,49
201,265,2,1010
201,267,0,239
201,267,2,401
201,267,0,48
201,267,1,2
201,269,0,254
201,269,1,400
201,269,0,49
201,269,2,367
201,271,1,372
201,271,0,49
201,271,2,333
201,271,0,415
201,271,1,22
201,273,2,289
201,273,0,181
201,273,1,150
201,273,0,48
201,273,2,397
201,275,2,489
201,275,0,32
201,275,1,566
201,275,0,31
201,275,2,1300
201,277,0,273
201,277,1,533
201,277,0,48
201,277,2,517
201,277,0,681
201,277,1,398
201,279,1,473
201,279,0,31
201,279,2,717
201,279,0,447
201,279,1,6
201,281,1,391
201,281,0,49
201,281,2,249
201,281,0,48
201,281,1,200
201,281,0,514
201,281,2,487
201,283,0,240
201,283,1,216
201,283,0,32
201,283,2,833
201,283,0,48
201,283,1,403
201,285,2,456
201,285,0,31
201,285,1,250
201,285,0,48
201,285,2,215
201,287,2,405
201,287,0,48
201,287,1,200
201,287,0,32
201,287,2,233
201,289,1,473
201,289,0,49
201,289,2,367
201,289,0,248
201,289,1,117
201,289,0,32
201,289,2,1000
201,289,0,31
201,289,1,1217
201,289,0,31
201,289,2,24
201,291,0,339
201,291,2,284
201,291,0,47
201,291,1,584
201,291,0,348
201,291,2,1643
201,293,2,473
201,293,0,47
201,293,1,580
201,295,2,454
201,295,0,32
201,295,1,1091
201,297,2,386
201,297,0,32
201,297,1,316
201,297,0,48
201,297,2,484
201,297,0,264
201,297,1,634
201,297,0,99
201,297,2,90
201,299,2,406
201,299,0,30
201,299,1,498
201,301,0,472
201,301,1,184
201,301,0,48
201,301,2,166
201,301,0,48
201,301,1,333
201,301,0,48
201,301,2,416
201,301,0,47
201,301,1,17
201,303,0,255
201,303,2,300
201,303,0,31
201,303,1,666
201,305,1,639
201,305,0,31
201,305,2,867
201,305,0,48
201,305,1,368
201,307,1,639
201,307,0,65
201,307,2,210
201,309,0,272
201,309,1,350
201,309,0,31
201,309,2,1055
201,311,0,489
201,311,2,101
201,311,0,47
201,311,1,584
201,311,0,49
201,311,2,317
201,313,1,572
201,313,0,48
201,313,2,334
201,313,0,64
201,313,1,217
201,313,0,31
201,313,2,2
201,315,2,256
201,315,0,115
201,315,1,100
201,315,0,49
201,315,2,387
201,317,0,490
201,317,1,1021
201,319,0,256
201,319,1,533
201,319,0,48
201,319,2,350
201,319,0,47
201,319,1,683
201,319,0,31
201,319,2,55
201,321,1,206
201,321,0,281
201,321,2,1067
201,321,0,48
201,321,1,911
201,323,0,256
201,323,1,134
201,323,0,580
201,323,2,616
201,325,0,256
201,325,1,200
201,325,0,48
201,325,2,866
201,325,0,31
201,325,1,17
201,327,1,355
201,327,0,32
201,327,2,2004
201,329,2,404
201,329,0,47
201,329,1,717
201,329,0,49
201,329,2,500
201,329,0,81
201,329,1,300
201,329,0,248
201,329,2,783
201,329,0,48
201,329,1,201
201,329,0,48
201,329,2,363
201,331,1,1090
201,331,0,365
201,331,2,167
201,331,0,197
201,331,1,766
201,331,0,48
201,331,2,678
201,333,0,240
201,333,1,66
201,333,0,281
201,333,2,710
201,335,0,256
201,335,2,1483
201,335,0,148
201,335,1,184
201,335,0,31
201,335,2,66
201,337,0,272
201,337,1,250
201,337,0,48
201,337,2,771
201,339,1,906
201,339,0,48
201,339,2,300
201,339,0,465
201,339,1,166
201,339,0,32
201,339,2,600
202,171,0,284
202,171,2,217
202,171,0,80
202,171,1,500
202,171,0,32
202,171,2,317
202,171,0,31
202,171,1,134
202,173,1,388
202,173,0,48
202,173,2,450
202,173,0,31
202,173,1,504
202,175,1,420
202,175,0,48
202,175,2,517
202,175,0,47
202,175,1,634
202,175,0,48
202,175,2,250
202,177,0,572
202,177,2,383
202,177,0,31
202,177,1,334
202,177,0,132
202,177,2,0
202,179,1,405
202,179,0,31
202,179,2,500
202,179,0,31
202,179,1,284
202,179,0,214
202,179,2,367
202,179,0,48
202,179,1,371
202,181,0,305
202,181,2,1084
202,181,0,31
202,181,1,531
202,183,1,255
202,183,0,165
202,183,2,666
202,183,0,31
202,183,1,333
202,185,0,289
202,185,2,233
202,185,0,215
202,185,1,350
202,185,0,32
202,185,2,683
202,185,0,48
202,185,1,743
202,187,2,1188
202,187,0,31
202,187,1,383
202,187,0,49
202,187,2,450
202,187,0,97
202,187,1,383
202,187,0,198
202,187,2,250
202,187,0,31
202,187,1,500
202,187,0,182
202,187,2,2714
202,189,1,406
202,189,0,49
202,189,2,416
202,189,0,48
202,189,1,333
202,191,2,405
202,191,0,448
202,191,1,201
202,191,0,30
202,191,2,567
202,191,0,32
202,191,1,316
202,191,0,48
202,191,2,134
202,191,0,47
202,191,1,108
202,193,2,389
202,193,0,48
202,193,1,534
202,193,0,49
202,193,2,516
202,193,0,31
202,193,1,300
202,193,0,49
202,193,2,266
202,193,0,82
202,193,1,66
202,195,2,339
202,195,0,314
202,195,1,217
202,195,0,32
202,195,2,583
202,195,0,30
202,195,1,416
202,195,0,32
202,195,2,467
202,197,0,273
202,197,2,1034
202,197,0,48
202,197,1,250
202,197,0,32
202,197,2,567
202,199,0,276
202,199,2,216
202,199,0,248
202,199,1,656
202,201,2,370
