parcode,trial,fix_item,fix_time
201,49,1,817
201,49,0,215
201,49,2,425
201,51,2,407
201,51,0,131
201,51,1,633
201,51,0,49
201,51,2,1066
201,53,0,288
201,53,1,833
201,53,0,315
201,53,2,33
201,53,0,98
201,53,1,300
201,53,0,49
201,53,2,500
201,53,0,198
201,53,1,216
201,55,1,238
201,55,0,315
201,55,2,333
201,55,0,81
201,55,1,201
201,57,1,438
201,57,0,48
201,57,2,283
201,57,0,48
201,57,1,83
201,57,0,182
201,57,2,137
201,59,1,454
201,59,0,48
201,59,2,768
201,61,2,457
201,61,0,30
201,61,1,267
201,63,1,206
201,63,0,215
201,63,2,499
201,65,2,489
201,65,0,47
201,65,1,450
201,67,2,556
201,67,0,47
201,67,1,283
201,67,0,181
201,67,2,64
201,69,2,405
201,69,0,31
201,69,1,167
201,69,0,48
201,69,2,316
201,69,0,65
201,69,1,417
201,69,0,299
201,69,2,26
201,71,1,805
201,71,0,48
201,71,2,423
201,73,0,306
201,73,1,217
201,73,0,64
201,73,2,423
201,75,1,221
201,75,0,48
201,75,2,433
201,75,0,30
201,75,1,167
201,75,0,264
201,75,2,74
201,77,0,672
201,77,1,333
201,77,0,33
201,77,2,239
201,79,2,439
201,79,0,30
201,79,1,383
201,79,0,248
201,79,2,384
201,79,0,231
201,79,1,171
201,81,0,271
201,81,1,233
201,81,0,31
201,81,2,651
201,81,0,614
201,81,1,422
201,83,0,289
201,83,2,266
201,83,0,32
201,83,1,371
201,85,0,290
201,85,2,150
201,85,0,47
201,85,1,700
201,85,0,48
201,85,2,552
201,87,0,329
201,87,1,535
201,87,0,30
201,87,2,452
201,89,0,298
201,89,2,576
201,91,1,471
201,91,0,64
201,91,2,409
201,93,2,304
201,93,0,198
201,93,1,734
201,93,0,65
201,93,2,811
201,95,1,469
201,95,0,32
201,95,2,567
201,95,0,30
201,95,1,300
201,95,0,65
201,95,2,467
201,95,0,31
201,95,1,17
201,97,1,471
201,97,0,64
201,97,2,535
201,99,2,439
201,99,0,31
201,99,1,666
201,99,0,466
201,99,2,383
201,101,0,306
201,101,1,401
201,101,0,31
201,101,2,537
201,103,2,505
201,103,0,31
201,103,1,300
201,103,0,32
201,103,2,389
201,105,2,508
201,105,0,30
201,105,1,301
201,105,0,32
201,105,2,700
201,105,0,31
201,105,1,634
201,105,0,31
201,105,2,333
201,107,2,503
201,107,0,65
201,107,1,567
201,107,0,32
201,107,2,266
201,107,0,31
201,107,1,470
