parcode,trial,rt,choice,item_left,item_right
205,193,1567,-1,-5.307,-1.287
205,195,1551,-1,-5.208,-3.201
205,197,1636,-1,-3.408,-3.42
205,199,2688,-1,-3.888,-1.962
205,201,1630,-1,-4.056,-1.06
205,203,2583,1,-2.508,-3.528
205,205,1359,1,-1.455,-5.46
205,207,1087,-1,-5.568,-1.52
205,209,1096,-1,-5.984,-3.016
205,211,1750,-1,0,-9.9
205,213,950,1,-2.047,-5.07
205,215,1368,-1,-2.695,-1.638
205,217,1861,1,-1.35,-5.368
205,219,1025,1,-2.26,-4.326
205,221,1231,-1,-5.096,-1.1
205,223,958,1,-1.808,-4.898
205,225,1434,-1,-4.307,-1.296
205,227,846,1,-2.968,-4.992
205,229,1298,1,-3.06,-3.99
205,231,1471,1,-2.304,-5.33
205,233,1475,1,-1.944,-3.96
205,235,4067,-1,-4.845,-4.816
205,237,2081,1,-1.909,-5.928
205,239,2229,1,-3.39,-5.395
205,241,1350,-1,-5.95,-1.98
205,243,1960,-1,0,-9.9
205,245,1318,1,-1.05,-5.056
205,247,1413,-1,-5.696,-1.74
205,249,1853,-1,-3.675,-1.638
205,251,1607,-1,-3.969,-4.988
205,253,1793,-1,-3.328,-4.312
205,255,2684,-1,-5.976,-5.016
205,257,2058,1,-2.968,-4.982
205,259,2032,-1,-1.344,-1.35
205,261,1239,-1,-4.3,-1.265
205,263,1930,-1,-5.796,-2.85
205,265,1513,-1,-4.416,-5.478
205,267,1316,1,-1.456,-3.476
205,269,1529,1,-1.06,-5.04
205,271,969,1,-3.658,-5.616
205,273,1443,1,-3.3,-3.255
205,275,1826,1,-9.9,0
205,277,1637,-1,-2.691,-3.663
205,279,1261,-1,-4.818,-2.844
205,281,1154,1,-1.596,-2.618
205,283,1311,-1,-4.158,-3.159
205,285,1067,-1,-4.263,-1.274
205,287,2267,-1,-5.852,-2.808
205,289,928,1,-5.4,-4.42
205,291,1040,1,-3.565,-5.546
205,293,1324,-1,-5.12,-3.105
205,295,1682,-1,-6,-4.95
205,297,1109,1,-1.624,-4.65
205,299,1055,1,-1.394,-5.396
205,301,1154,1,-1.442,-3.492
205,303,1228,-1,-4.536,-1.56
205,305,1395,1,-2.816,-4.851
205,307,1095,1,-1.199,-5.208
205,309,1140,-1,0,-9.9
205,311,2320,-1,-4.662,-3.712
205,313,1050,-1,-3.408,-1.442
205,315,1100,-1,0,-9.9
205,317,1173,-1,-5.544,-1.485
205,319,1343,1,-1.18,-4.176
205,321,1047,-1,-3.96,-2.033
205,323,1828,-1,-5.67,-1.65
205,325,1170,1,-3.952,-3.978
205,327,1395,1,-3.2,-4.209
205,329,935,1,-1.428,-5.396
205,331,947,1,-1.443,-4.368
205,333,1315,1,-4.221,-4.221
205,335,931,1,-1.41,-5.4
205,337,1698,1,-3.344,-3.354
205,339,1813,-1,-5.46,-3.465
206,171,2029,1,-1.9,-1.938
206,173,1601,-1,-1.9,-5.84
206,175,1127,-1,-2.376,-5.4
206,177,1713,-1,-1.1,-4.042
206,179,1730,1,-3.036,-1.026
206,181,1962,1,-3.675,-1.638
206,183,1579,1,-5.103,-4.116
206,185,1684,-1,-1.729,-3.723
206,187,3262,1,-5.406,-5.36
206,189,1138,1,-5.696,-1.74
206,191,1998,1,-5.005,-4.004
206,193,2039,1,-2.04,-2.124
206,195,1981,1,-3.888,-1.962
206,197,2240,-1,-3.944,-4.895
206,199,2403,1,-4.368,-1.365
206,201,3795,-1,-3.408,-3.42
206,203,2725,1,-1.695,-1.656
206,205,1336,-1,-1.128,-4.104
206,207,2455,1,-5.394,-1.344
206,209,2590,-1,-1.417,-3.366
206,211,1226,1,-5.984,-1.92
206,213,1559,-1,-2.26,-4.326
206,215,1205,-1,-1.704,-5.67
206,217,996,-1,-3.39,-5.395
206,219,756,-1,-1.05,-5.056
206,221,3075,1,-4.96,-2.916
206,223,2319,-1,-2.352,-4.368
206,225,2689,1,-3.045,-2.046
206,227,3152,-1,-4.158,-5.185
206,229,2563,1,-5.208,-3.201
206,231,1850,-1,-3.06,-3.99
206,233,2022,1,-4.355,-3.312
206,235,4614,1,-4.823,-1.734
206,237,949,-1,-1.35,-5.368
206,239,1034,-1,0,-9.9
206,241,1803,1,-5.751,-1.76
206,243,1144,1,-4.2,-1.204
206,245,2339,-1,-4.845,-4.816
206,247,1133,-1,-1.455,-5.46
206,249,2014,-1,-1.944,-3.96
206,251,1348,-1,-1.701,-4.686
206,253,1782,1,-5.661,-2.691
206,255,1371,1,-9.9,0
206,257,1661,-1,-1.36,-2.368
206,259,918,-1,-3.57,-5.544
206,261,1511,-1,-2.968,-4.982
206,263,1434,-1,-1.98,-5.06
206,265,1345,1,-5.46,-3.465
206,267,1208,-1,0,-9.9
206,269,2310,1,-4.221,-4.221
206,271,1626,1,-3.944,-2.925
206,273,2616,-1,-3.78,-3.782
206,275,1627,1,-3.96,-2.033
206,277,911,1,-5.916,-1.869
206,279,846,1,-5.632,-1.674
206,281,854,-1,-3.564,-4.55
206,283,1194,1,-5.53,-1.539
206,285,1050,1,-9.9,0
206,287,1096,-1,-1.442,-3.492
206,289,999,-1,-1.456,-3.476
206,291,2080,-1,-3.416,-2.448
206,293,2319,-1,-1.7,-2.624
206,295,2278,1,-5.2,-4.224
206,297,853,-1,-2.538,-4.5
206,299,971,-1,-4.88,-5.874
206,301,717,-1,-1.41,-5.4
206,303,2065,-1,-1.44,-5.394
206,305,1585,1,-4.071,-1.056
206,307,1148,1,-4.608,-2.552
206,309,1965,-1,-1.18,-4.176
206,311,1893,1,-5.742,-3.76
206,313,1886,1,-6,-4.95
206,315,2222,1,-3.3,-3.255
206,317,1157,1,-3.066,-1.092
206,319,731,1,-5.022,-1.056
206,321,1792,1,-5.67,-1.65
206,323,2277,-1,-1.199,-5.208
206,325,1803,-1,-2.2,-2.204
206,327,1302,-1,-2.332,-5.355
206,329,829,-1,-1.32,-4.326
206,331,1389,1,-4.662,-3.712
206,333,813,-1,-1.84,-5.832
206,335,2622,-1,-1.596,-2.618
206,337,1100,1,-5.12,-3.105
206,339,795,-1,-1.624,-4.65
207,173,7085,1,-2.04,-2.124
207,175,7454,1,-5.976,-5.016
207,177,9486,-1,-2.968,-4.992
207,179,8294,1,-1.417,-3.366
207,181,4339,1,-3.888,-1.962
207,185,7872,-1,-2.508,-3.528
207,187,7452,1,-5.103,-2.14
207,189,4796,1,-5.406,-3.39
207,191,2835,-1,-3.045,-2.046
