parcode,trial,rt,choice,item_left,item_right
207,33,2061,1,2.997,4.964
207,35,1218,1,1.215,5.183
207,37,3268,-1,4.588,2.56
207,39,1416,-1,5.25,1.2
207,41,1586,1,1.47,5.46
207,43,1120,1,2.242,5.175
207,45,2347,-1,9.9,0
207,47,3885,-1,5.551,1.515
207,49,4109,-1,2.016,2.088
207,51,4362,1,5.432,5.39
207,53,4963,1,3.276,5.251
207,55,1991,1,1.26,5.313
207,57,2592,1,3.689,5.698
207,59,3123,1,2.088,3.116
207,61,1194,1,1.863,4.898
207,63,2598,1,2.407,4.422
207,65,3494,1,2.89,5.92
207,67,2003,-1,9.9,0
207,69,1630,1,3.552,4.543
207,71,2285,-1,4.8,3.772
207,75,4518,1,2.05,4.096
207,77,4986,1,2.968,4.928
207,79,4168,1,1.666,5.76
207,81,4506,1,1.116,2.079
207,83,4057,-1,5.518,1.515
207,85,3236,-1,4.002,2.028
207,87,3338,1,4.536,4.524
207,89,1215,1,1.116,5.124
207,91,1727,1,0,9.9
207,93,1248,1,0,9.9
207,95,1956,-1,2.075,1.116
207,97,2534,1,1.136,4.154
207,99,2908,-1,5.7,2.668
207,101,5523,1,5.244,5.217
207,103,2980,-1,5.58,2.574
207,105,7405,-1,4.36,4.3
207,107,5422,1,4.416,4.332
207,109,1526,-1,5.46,2.508
207,111,4764,1,3.248,3.276
207,113,1472,-1,5.28,1.312
207,115,7004,-1,1.11,1.17
207,117,2145,-1,3.534,2.52
207,119,1596,1,1.8,5.822
207,121,3370,-1,4.617,1.577
207,123,4819,1,3.528,5.55
207,125,2836,1,5.238,4.209
207,127,1714,1,1.776,2.828
207,129,1351,-1,4.272,1.288
207,131,1169,-1,4.35,1.309
207,133,2612,-1,3.09,0.999
207,135,2224,1,1.491,5.451
207,137,4438,1,4.485,5.472
207,139,2379,-1,4.662,2.688
207,141,3043,1,1.728,2.759
207,143,1935,1,1.199,5.27
207,145,1630,1,2.87,4.864
207,147,1288,-1,5.671,1.76
207,149,959,1,1.794,4.74
207,151,3284,-1,2.38,3.379
207,153,3062,1,2.744,5.795
207,155,1199,-1,5.084,2.1
207,157,2827,-1,5.025,2.079
207,159,934,1,2.625,5.6
207,161,846,-1,4.42,2.375
207,163,1790,1,2.352,3.28
207,165,2697,1,2.943,4.949
207,167,2670,1,2.61,5.544
207,169,1513,-1,5.04,4.074
208,1,863,-1,5.9,3.842
208,3,1670,1,2.016,2.088
208,5,1617,1,2.242,5.175
208,7,1488,1,2.1,5.135
208,9,1612,-1,3.337,2.373
208,11,696,-1,5.451,2.449
208,13,1404,-1,4.8,1.848
208,15,1090,1,2.997,4.964
208,17,1651,-1,1.116,2.079
208,19,1144,-1,5.22,2.24
208,21,971,-1,5.22,2.128
208,23,1482,-1,5.525,2.576
208,25,1186,-1,4.588,2.56
208,27,1273,1,1.824,5.874
208,29,1668,1,2.05,4.096
208,31,837,1,4.332,5.39
208,33,711,1,3.9,5.846
208,35,969,1,3.689,5.698
208,37,708,1,1.548,4.575
208,39,1022,-1,1.98,1.976
208,41,1421,1,2.496,2.507
208,43,834,-1,5.81,1.836
208,45,604,1,1.768,3.724
208,47,1035,-1,4.725,1.824
208,49,1064,-1,4.544,3.535
208,51,636,-1,4.234,1.218
208,53,658,-1,4.002,2.028
208,55,699,1,1.164,4.176
208,57,666,1,1.19,5.232
208,59,1100,1,4.563,2.542
208,61,973,1,3.552,4.543
208,63,1429,1,2.275,1.32
208,65,735,1,2.407,4.422
208,67,640,1,1.47,2.46
208,69,780,1,1.808,5.814
208,71,1522,-1,1.853,1.84
208,73,607,-1,5.25,1.2
208,75,1229,1,1.215,5.183
208,77,1173,1,5.865,4.879
208,79,1226,1,2.89,1.972
208,81,1680,-1,2.94,1.952
208,83,1314,1,4.422,5.46
208,85,696,-1,5.332,1.386
208,87,1109,1,2.075,1.116
208,89,732,1,3.193,4.16
208,91,766,1,1.776,2.828
208,93,596,-1,5.025,2.079
208,95,662,1,2.76,4.814
208,97,648,1,1.136,4.154
208,99,666,1,1.491,5.451
208,101,576,-1,4.662,2.688
208,103,801,1,5.278,4.223
208,105,787,-1,3.591,2.553
208,107,1024,1,2.352,3.28
208,109,977,1,2.38,4.422
208,111,782,-1,4.864,5.83
208,113,1087,-1,3.588,1.558
208,115,607,1,1.955,6.003
208,117,1030,1,4.536,4.524
208,119,782,-1,9.9,0
208,121,678,-1,5.28,1.312
208,123,945,-1,4.42,2.375
208,125,809,-1,4.148,2.133
208,127,848,-1,5.084,2.1
208,129,698,1,2.87,4.864
208,131,688,-1,5.18,1.188
208,133,1077,-1,3.168,1.152
208,135,1474,-1,1.596,2.673
208,137,1379,-1,5.251,3.24
208,139,1171,1,4.24,2.247
208,141,826,1,2.94,4.941
208,143,1618,-1,4.485,5.472
208,145,1258,1,2.088,4.14
208,147,1762,-1,4.272,1.288
208,149,2232,-1,4.36,4.3
208,151,1083,-1,5.7,3.663
208,153,964,-1,3,2.071
208,155,1271,-1,5.452,2.442
208,157,1130,-1,3.09,0.999
208,159,838,1,1.218,5.226
208,161,970,1,2.436,5.451
208,163,1067,-1,3.248,3.276
208,165,1628,-1,5.04,4.074
208,167,932,1,5.244,5.217
208,169,1735,1,2.943,4.949
209,1,2326,1,3.276,5.251
209,3,1537,-1,9.9,0
209,5,1444,-1,5.22,2.24
209,7,1646,-1,5.52,1.456
209,9,1641,-1,4.59,2.574
209,11,1592,1,1.215,5.183
209,13,3588,1,3.552,4.543
209,15,2090,1,1.98,1.976
209,17,1611,1,2.496,2.507
209,19,1517,1,1.824,5.874
209,21,1672,1,1.768,3.724
209,23,2131,1,4.473,5.52
209,25,3086,-1,5.022,2.976
209,27,2055,1,1.164,4.176
209,29,2666,1,4.422,5.46
209,31,1631,-1,5.81,1.836
209,33,2980,-1,5.325,1.335
209,35,2517,1,5.22,2.128
209,37,1548,1,2.124,5.194
209,39,1601,-1,5.9,3.842
209,41,2465,-1,3.8,4.84
209,43,2070,-1,1.116,2.079
209,45,3342,1,3.552,2.596
209,47,2236,1,1.666,5.76
209,49,2269,1,3.24,5.22
209,51,2988,1,2.242,5.175
209,53,1893,-1,9.9,0
209,55,1203,1,1.548,4.575
209,57,1633,1,1.19,5.232
209,59,2461,-1,4.225,1.265
209,61,1817,1,2.275,1.32
209,63,2739,1,2.088,3.116
209,65,1791,-1,1.853,1.84
209,67,2296,1,3.9,5.846
209,69,1526,1,2.04,4.98
209,71,3014,-1,3.074,3.05
209,73,1555,-1,5.22,1.243
209,75,1285,1,0,9.9
209,77,3116,1,5.002,5.989
209,79,2070,1,3.689,5.698
209,81,2321,-1,5.432,5.39
209,83,2200,-1,4.563,2.542
209,85,3085,1,4.332,5.39
209,87,1787,-1,5.18,1.188
209,89,1807,-1,5.025,2.079
209,91,3943,-1,4.24,2.247
209,93,1248,-1,5.084,2.1
209,95,2376,-1,5.103,5.11
209,97,2384,-1,1.11,1.17
209,99,2038,1,5.278,4.223
209,101,3694,1,1.8,5.822
209,103,2261,1,1.199,5.27
209,105,1885,-1,5.39,1.36
209,107,1850,-1,1.596,2.673
209,109,1563,-1,5.46,2.508
209,111,1491,-1,3.168,1.152
209,113,3231,1,2.444,4.453
209,115,2753,1,1.136,4.154
209,117,1607,1,1.218,5.226
209,119,1550,-1,2.075,1.116
209,121,1391,1,1.776,2.828
209,123,1214,1,2.943,4.949
209,125,1962,-1,5.238,4.209
209,127,1537,-1,5.353,4.36
209,129,2242,1,1.116,5.124
209,131,1705,1,2.808,5.785
209,133,2733,-1,4.662,2.688
209,135,1782,-1,4.148,2.133
209,137,1422,1,1.498,4.437
209,139,2019,1,2.625,5.6
209,141,5607,-1,5.452,2.442
209,143,1765,-1,5.58,2.574
209,145,1730,-1,5.671,1.76
209,147,2400,-1,3.248,3.276
209,149,1951,1,4.864,5.83
209,151,4335,1,5.244,5.217
209,153,2135,1,1.728,2.759
209,155,6097,1,1.84,5.916
209,157,1895,-1,3.534,2.52
209,159,3991,-1,5.61,4.554
209,161,2961,-1,3.24,3.3
209,163,2078,-1,3.591,2.553
209,165,1589,1,1.824,3.807
209,167,2337,-1,4.272,1.288
209,169,2134,1,2.76,4.814
211,1,2526,1,3.9,5.846
211,3,2145,1,2.05,4.096
211,5,1813,1,1.164,4.176
211,7,1879,-1,4.725,1.824
211,9,2147,-1,5.518,1.515
211,11,2216,-1,4.225,1.265
211,13,1582,-1,5.22,2.128
211,15,1929,-1,2.94,1.952
211,17,2858,-1,3.552,2.596
211,19,2209,1,2.407,4.422
211,21,3150,1,4.422,5.46
211,23,2092,-1,5.332,1.386
211,25,1556,1,2.1,5.135
211,27,2441,-1,5.451,2.449
211,29,2597,-1,4.002,2.028
211,31,1691,-1,2.496,2.507
211,33,1973,-1,9.9,0
211,35,2763,-1,3.337,2.373
211,37,2577,1,1.19,5.232
211,39,3259,1,5.002,5.989
211,41,3681,1,1.863,4.898
211,43,1719,1,2.124,5.194
211,45,2218,1,4.473,5.52
211,47,1805,-1,5.325,1.335
211,49,1875,-1,5.432,5.39
211,51,2200,-1,5.022,2.976
211,53,3131,1,1.02,5.025
211,55,2376,1,3.074,3.05
211,57,1536,-1,5.81,1.836
211,59,2498,-1,2.89,1.972
211,61,2062,-1,5.551,1.515
211,63,2284,1,3.24,5.22
211,65,1944,-1,5.22,2.24
211,67,2043,1,1.548,4.575
211,69,1959,1,1.06,5.046
211,71,3287,1,1.116,2.079
211,73,2390,-1,1.554,1.548
211,75,1840,1,4.332,5.39
211,77,1212,-1,9.9,0
211,79,1940,1,3.8,4.84
211,81,1840,-1,5.52,1.456
211,83,2660,1,2.968,4.928
211,85,2091,-1,5.22,1.243
211,87,2182,1,1.84,5.916
211,89,1943,-1,5.7,3.663
211,91,1999,-1,5.865,1.856
211,93,2690,-1,5.084,2.1
211,95,1312,1,2.87,4.864
211,97,2071,1,2.943,4.949
211,99,1234,1,0,9.9
211,101,3258,-1,5.278,4.223
211,103,1073,1,0,9.9
211,105,2569,1,1.728,2.759
211,107,1601,-1,3.168,1.152
211,109,1370,-1,4.148,2.133
211,111,1445,1,1.2,5.184
211,113,2687,-1,5.39,1.36
211,115,2177,1,1.498,4.437
211,117,2228,-1,5.04,4.074
211,119,3293,1,2.744,5.795
211,121,2784,-1,5.353,4.36
211,123,3419,1,4.864,5.83
211,125,1893,-1,5.025,2.079
211,127,1487,1,1.955,6.003
211,129,1627,-1,5.328,1.335
211,131,1574,-1,3.534,2.52
211,133,1597,-1,5.452,2.442
211,135,2270,1,1.491,5.451
211,137,1686,1,3.528,5.55
211,139,2235,-1,2.075,1.116
211,141,1742,-1,5.995,1.989
211,143,1977,-1,5.46,2.508
211,145,2067,-1,4.272,1.288
211,147,2126,-1,3.591,2.553
211,149,2795,-1,5.61,4.554
211,151,1417,1,1.136,4.154
211,153,2460,1,2.444,4.453
211,155,1915,1,1.199,5.27
211,157,2023,1,1.776,2.828
211,159,2155,1,2.625,5.6
211,161,1959,-1,4.24,2.247
211,163,2640,1,2.436,5.451
211,165,1919,1,2.006,5.025
211,167,1751,-1,4.35,1.309
211,169,1796,1,2.808,5.785
213,1,1985,-1,5.9,3.842
213,3,746,-1,9.9,0
213,5,1041,1,2.997,4.964
213,7,1120,1,2.04,4.98
213,9,1013,1,1.26,5.313
213,11,867,-1,1.98,1.976
213,13,1631,-1,3.84,1.819
213,15,1100,-1,9.9,0
213,17,1778,1,1.666,5.76
213,19,908,-1,4.332,5.39
213,21,895,1,4.563,2.542
213,23,1208,1,3.9,5.846
213,25,843,-1,5.332,1.386
213,27,757,-1,4.225,1.265
213,29,855,-1,5.22,2.24
213,31,809,-1,5.822,1.848
213,33,741,1,2.407,4.422
213,35,1192,-1,4.002,2.028
213,37,849,1,1.768,3.724
213,39,850,1,3.552,4.543
213,41,1198,-1,4.422,5.46
213,43,1218,-1,5.325,1.335
213,45,739,-1,5.25,1.2
213,47,688,1,4.473,5.52
213,49,978,-1,5.865,4.879
213,51,947,1,2.94,1.952
213,53,1364,1,1.116,2.079
213,55,1147,1,4.544,3.535
213,57,1582,1,2.89,5.92
213,59,1049,1,5.52,1.456
213,61,999,1,5.551,1.515
213,63,1013,1,2.1,5.135
213,67,1381,-1,3.552,2.596
213,69,662,-1,1.853,1.84
213,73,1056,1,2.968,4.928
213,75,1046,-1,5.22,1.243
213,77,1636,-1,3.074,3.05
213,79,1050,1,0,9.9
213,81,957,1,4.896,3.885
213,83,1059,-1,5.81,1.836
213,85,1096,-1,1.164,4.176
213,87,843,-1,3.09,0.999
213,89,1562,1,5.814,1.856
213,91,917,1,1.218,5.226
