parcode,trial,rt,choice,item_left,item_right
201,248,1206,-1,-1.35,-5.368
201,249,4132,-1,-4.355,-3.312
201,250,3915,-1,-3.39,-5.395
201,251,1940,1,-3.944,-4.895
201,252,1512,1,-3.888,-1.962
201,253,1098,-1,-1.944,-3.96
201,254,984,1,-5.208,-3.201
201,255,877,-1,-1.455,-5.46
201,256,3924,-1,-2.691,-3.663
201,257,966,1,-5.356,-1.368
201,258,1068,-1,-2.464,-5.456
201,259,1025,-1,-1.32,-4.326
201,260,1138,-1,-1.428,-5.396
201,261,766,1,-5.632,-1.674
201,262,795,-1,-1.725,-5.796
201,263,2006,-1,-3.564,-4.55
201,264,3321,-1,-1.344,-1.35
201,265,1466,1,-4.818,-2.844
201,266,1251,-1,-3.952,-3.978
201,267,691,1,-5.04,-1.068
201,268,3283,1,-4.416,-5.478
201,269,1425,-1,-1.624,-4.65
201,270,1200,1,-3.944,-2.925
201,271,1195,-1,-1.84,-5.832
201,272,1975,1,-4.071,-1.056
201,273,1069,1,-5.67,-1.65
201,274,1482,-1,-2.538,-4.5
201,275,2438,1,-3.3,-3.255
201,276,2217,1,-5.775,-4.845
201,277,2455,-1,0,-9.9
201,278,1829,1,-4.3,-1.265
201,279,1679,1,-5.53,-1.539
201,280,1156,-1,-1.394,-5.396
201,281,1945,-1,-2.808,-4.757
201,282,2710,1,-6,-4.95
201,283,1777,1,-5.022,-1.056
201,284,1561,-1,0,-9.9
201,285,1005,1,-4.266,-1.236
201,286,1611,1,-3.066,-1.092
201,287,1037,1,-3.96,-2.033
201,288,879,-1,-1.44,-5.394
201,289,3597,-1,-3.942,-3.978
201,290,1977,1,-4.263,-1.274
201,291,3250,-1,-3.2,-4.209
201,292,919,1,-4.18,-1.248
201,293,1103,-1,-1.442,-3.492
201,294,1401,-1,-1.98,-5.06
201,295,1580,-1,-1.7,-2.624
201,296,1848,1,-5.916,-1.869
201,297,2361,1,-4.83,-2.85
201,298,1200,-1,-1.18,-4.176
201,299,937,-1,-2.332,-5.355
201,300,4025,1,-4.88,-5.874
201,301,2030,1,-5.742,-3.76
201,302,747,1,-4.158,-3.159
201,303,1423,-1,-1.41,-5.4
201,304,1214,1,-5.712,-2.808
201,305,1958,-1,-3.78,-3.782
201,306,974,-1,-1.443,-4.368
201,307,917,-1,-2.147,-3.161
201,308,892,-1,-2.2,-2.204
201,309,1711,-1,-3.57,-5.544
201,310,2278,-1,-5.4,-4.42
201,311,1591,-1,-1.802,-4.77
201,312,1068,1,-4.536,-1.56
201,313,1275,-1,-2.261,-5.256
201,314,1870,1,-5.852,-2.808
201,315,911,1,-5.544,-1.485
201,316,1652,-1,-1.596,-2.618
201,317,1512,-1,0,-9.9
201,318,3959,-1,-3.344,-3.354
201,319,2012,-1,-1.456,-3.476
201,320,2158,-1,-3.408,-1.442
201,321,2517,-1,-3.565,-5.546
201,322,1955,1,-5.106,-4.125
201,323,1589,1,-9.9,0
201,324,2036,-1,-2.968,-4.982
201,325,1439,1,-5.041,-1.04
201,326,3357,-1,-1.792,-1.748
201,327,2394,1,-4.221,-4.221
201,328,1162,-1,-1.199,-5.208
201,329,3802,1,-5.2,-4.224
201,330,1558,-1,-5.12,-3.105
201,331,3318,1,-4.662,-3.712
201,332,1368,1,-5.46,-3.465
201,333,1301,1,-5.796,-2.85
201,334,1384,-1,-3.658,-5.616
201,335,2172,1,-4.608,-2.552
201,336,1422,-1,-2.816,-4.851
201,337,1344,1,-3.416,-2.448
201,338,1083,-1,-1.36,-2.368
201,339,2651,-1,-1.06,-5.04
201,340,987,-1,-1.08,-5.146
